contract_id;station_number;status;bike_stands;bonus;banking;latitude;longitude;address;station_name
14;9029;1;15;0;1;45.773125;4.807831;Place Vanderpol/Angle St Pierre de Vaise;9029 - SAINT PIERRE DE VAISE
14;9032;1;18;0;1;45.773815;4.809566;Quai Arloing, CÙtÈ SaÙne;9032 - PLACE DU PORT MOUTON
14;9033;1;40;0;1;45.767484;4.805626;49 RUE SGT BERTHET;9033 - GORGE DE LOUP
14;9040;1;12;0;1;45.770991;4.807578;1 PLACE DE LA RHODIACETA;9040 - PLACE RHODIACETA
14;9041;1;18;0;1;45.792478;4.820567;10 QUAI PAUL SEDAILLAN;9041 - CARRET / S…DALLIAN
14;9042;1;19;0;1;45.786533;4.811446;92 RUE DU BOURBONNAIS;9042 - VAISE DOCKS
14;9043;1;20;0;1;45.776087;4.799725;;9043 - MARIETTON OUEST
14;9044;1;16;0;1;45.770508;4.800869;20 AV. JOANNES MASSET;9044 - MASSET / SAINT PIERRE DE VAISE
14;9049;1;16;0;1;45.770136;4.80516;23 RUE GORGE DE LOUP;9049 - SERGENT BERTHET / GORGE DE LOUP
14;9050;1;12;1;1;45.783698;4.794485;AVENUE DU PLATEAU;9050 - ALLEE DE L'EUROPE
14;9051;1;12;1;1;45.786546;4.797107;373 AV. ANDREI SAKHAROV;9051 - ANDREI SAKHAROV
14;9052;1;12;1;1;45.789194;4.799308;360 BVD DE BALMONT;9052 - BALMONT
14;10001;1;30;0;1;45.785632;4.882366;rue de la Technologie;10001 - IUT / FEYSSINE
14;10002;1;40;0;1;45.782222;4.876951;Avenue Albert Einstein au niveau du virage;10002 - INSA (FAR)
14;10004;1;10;0;1;45.776217;4.862636;Rue Salvador Allende / Angle promenade du Lys;10004 - TONKIN
14;10005;1;35;0;1;45.779702;4.860029;Face EntrÈe du Parc de la TÍte d'Or;10005 - BOULEVARD DU 11 NOVEMBRE
14;10006;1;32;0;1;45.770225;4.863102;Place Charles Hernu / cÙtÈ sud;10006 - CHARPENNES (FAR)
14;10007;1;10;0;1;45.774204;4.867512;Av Piaton / angle Condorcet;10007 - PIATON / CONDORCET
14;10008;1;24;0;1;45.778385;4.879673;Rue Roger Salengro - Angle rue Vaillant;10008 - SALENGRO / VAILLANT
14;10011;1;16;0;1;45.769226;4.880491;174 COURS EMILE ZOLA;10011 - GRATTE CIEL
14;10012;1;16;0;1;45.767957;4.887232;Rue de France/Angle Cours Emile Zola;10012 - ZOLA / FRANCE
14;10013;1;20;0;1;45.764961;4.901018;103 RUE PIERRE VOYANT (VILLEURBANNE);10013 - CUSSET
14;10014;1;29;0;1;45.765214;4.909808;64 AV. MARCEL CERDAN;10014 - GARE L. BONNEVAY
14;10016;1;17;0;1;45.752074;4.91466;10 PLACE DE LA PAIX (VILLEURBANNE);10016 - PLACE DE LA PAIX
14;10018;1;11;0;1;45.761801;4.880735;Rue Florian/Angle Cours Tolsto√Ø;10018 - TOLSTO√è / FLORIAN
14;10021;0;19;0;1;45.759743;4.889938;Angle cours Tolsto√Ø;10021- GRANDCL…MENT
14;10024;1;13;0;1;45.7563424628;4.87833622547;Place des Maisons Neuves/CÙtÈ rue Jean JaurËs;10024 - MAISONS NEUVES
14;10025;1;20;0;1;45.763652;4.873158;;10025 - TOTEM
14;10027;1;26;0;1;45.766861;4.880059;Avenue Aristide Briand, en face de la mairie;10027 - MAIRIE DE VILLEURBANNE
14;10028;1;24;0;1;45.767467;4.874032;Cours de la RÈpublique/Angle Anatole France;10028 - ECOLE DE MUSIQUE
14;10030;1;18;0;1;45.773845;4.893851;126 RUE DU 8 MAI 1945 (VILLEURBANNE);10030 - GREUZE
14;10031;1;22;0;1;45.780679;4.88356;sur la place Croix Luizet;10031 - CROIX LUIZET
14;10032;1;16;0;1;45.757173;4.89998;Rue Antoine Primat/Angle rue Decorps;10032 - PRIMAT / DECORPS
14;10034;1;10;0;1;45.761825;4.886156;Devant la MJC;10034 - DOCTEUR DAMIDOT
14;10035;1;16;0;1;45.763139;4.900492;43 RUE PIERRE BARATIN (VILLEURBANNE);10035 - BOIRON GRANG…
14;10036;1;16;0;1;45.77435;4.859157;Boulevard Stalingrad/angle rue Charlie Chaplin;10036 - STALINGRAD
14;10038;1;12;0;1;45.779062;4.866874;Bvd 11 Nov./prox. arret tram Condorcet;10038 - CONDORCET
14;10039;1;16;0;1;45.779487;4.891692;Rue Professeur Bouvier/Angle rue du 8 mai 1945;10039 - BOUVIER
14;10041;1;16;0;1;45.752923;4.898891;1 PLACE KIMMERLING (VILLEURBANNE);10041 - KIMMERLING
14;10043;1;20;0;1;45.782994;4.890614;RUE DE LA FEYSSINE (VILLEURBANNE);10043 - SALENGRO / FEYSSINE
14;10046;1;24;0;1;45.770705;4.867201;Rue des Charmettes/Angle Cours Emile Zola;10046 - CHARMETTES/ZOLA
14;10047;1;10;0;1;45.771143;4.88504;Avenue du Cdt Lherminier/Angle rue F. de PressensÈ;10047 - LHERMINIER/PRESSENS…
14;10048;1;22;0;1;45.759176;4.875958;52 AV. MARC SANGNIER (VILLEURBANNE);10048 - PLACE MARENGO
14;10049;1;16;0;1;45.769158;4.89678;Rue Francis de PressensÈ/angle 8 mai 1945;10049 - PRESSENS…
14;10053;1;20;0;1;45.77939;4.863068;1 PLACE DE CROIX LUIZET;10053 - ROSSELINI / 11 NOVEMBRE
14;10054;1;24;0;1;45.776715;4.859573;RUE GEORGES MELIES (VILLEURBANNE);10054 - STALINGRAD / MELI»S
14;10055;1;15;0;1;45.776428;4.866976;Avenue Galline/angle av. de Condorcet;10055 - CONDORCET / GALLINE
14;10056;1;35;0;1;45.779066;4.871581;Avenue du 11 Nov./angle av Gaston Berger;10056 - 11 NOVEMBRE / GASTON BERGER
14;10058;1;22;0;1;45.767051;4.892467;274 COURS EMILE ZOLA (VILLEURBANNE);10058 - M…TRO FLACHET
14;10059;1;13;0;1;45.76884;4.884276;Rue Anatole France;10059 - ANATOLE FRANCE / ZOLA
14;10060;1;15;0;1;45.758805;4.87889;Avenue Antoine Saint Exupery;10060 - SAINT EXUP…RY
14;10061;1;18;0;1;45.77081;4.872844;Cours Emile Zola/Angle cours de la RÈpublique;10061 - R…PUBLIQUE
14;10063;1;34;0;1;45.758399;4.885601;7 PLACE JULES GRANDCLEMENT (VILLEURBANNE);10063 - PERRIN / JEAN JAUR»S
14;10064;1;10;0;1;45.764812;4.884311;Angle Rue Rollet/Blanqui;10064 - 4 AO√õT 1789
14;10071;1;20;0;1;45.761597;4.896386;64 BVD EUGENE REGUILLON (VILLEURBANNE);10071 - LYC…E MARIE CURIE
14;10072;1;23;0;1;45.774228;4.864269;Rue Jacques Brel/angle rue Korel;10072 - JACQUES BREL
14;10073;1;15;0;1;45.761468;4.872466;Rue Docteur Dolard / Angle rue 4 Septembre;10073 - INSTITUT D'ART CONTEMPORAIN
14;10074;1;19;0;1;45.770099;4.876728;Cours E. Zola / Angle passage Rey;10074 - ZOLA / PASSAGE REY
14;10075;1;12;0;1;45.772277;4.865774;Angle cours AndrÈ Philip;10075 - GABRIEL P…RI
14;10079;1;20;0;1;45.768127;4.879096;Rue Anatole France/Angle av Barbusse;10079 - ANATOLE FRANCE / BARBUSSE
14;10080;1;17;0;1;45.775409;4.880261;96 RUE ALEXIS PERRONCEL (VILLEURBANNE);10080 - VAILLANT / PERRONCEL
14;10083;1;15;0;1;45.777873;4.884238;2 RUE DES BIENVENUS;10083 - CHATEAU GAILLARD / BIENVENUS
