timestamp,contract_id,station_number,available_bikes,available_bike_stands
1451749803,2,17027,40,11
1451749803,2,17036,17,10
1451749803,2,18022,0,47
1451749803,2,18024,1,38
1451749803,2,18035,29,8
1451749803,2,19009,5,23
1451749803,2,19018,2,58
1451749803,2,19118,13,8
1451749803,2,20005,2,17
1451749803,2,20023,0,15
1451749803,2,20118,2,21
1451749803,2,21106,23,2
1451749803,2,21112,12,16
1451749803,2,23007,23,2
1451749803,2,41604,2,28
1451749803,2,42208,1,22
1451749803,3,11,6,17
1451749803,3,17,17,5
1451749803,3,18,12,13
1451749803,3,34,3,16
1451749803,3,68,2,14
1451749803,3,90,5,19
1451749803,3,121,8,7
1451749803,3,138,18,2
1451749803,3,190,5,15
1451749803,5,1,11,18
1451749803,5,8,24,6
1451749803,5,14,21,9
1451749803,5,24,15,4
1451749803,5,35,4,26
1451749803,5,48,17,23
1451749803,5,68,5,35
1451749803,5,80,17,23
1451749803,5,88,0,30
1451749803,6,19,9,6
1451749803,6,21,2,14
1451749803,6,27,3,17
1451749803,6,44,11,8
1451749803,6,47,18,2
1451749803,6,97,8,15
1451749803,6,134,5,15
1451749803,6,181,2,13
1451749803,14,1005,4,6
1451749803,14,1022,11,20
1451749803,14,2015,16,1
1451749803,14,3003,2,18
1451749803,14,3100,3,14
1451749803,14,4014,7,6
1451749803,14,5009,5,11
1451749803,14,6012,0,10
1451749803,14,7004,1,21
1451749803,14,7030,18,11
1451749803,14,8041,4,16
1451749803,14,8054,9,11
1451749803,14,9042,10,9
1451749803,14,10008,15,9
1451749803,14,10064,7,2
1451749803,15,21,0,26
1451749803,16,29,0,15
1451749803,16,58,13,6
1451749803,16,133,14,6
1451749803,16,134,21,3
1451749803,16,211,9,6
1451749803,16,240,6,9
1451749803,20,74,13,12
1451749803,20,83,14,11
1451749803,25,2272,12,2
1451749803,25,8308,5,4
1451749863,1,14,11,14
1451749863,2,1001,16,0
1451749863,2,1007,18,1
1451749863,2,1013,64,2
1451749863,2,2013,12,5
1451749863,2,2015,29,2
1451749863,2,2101,31,1
1451749863,2,2108,12,26
1451749863,2,3003,22,8
1451749863,2,4013,25,2
1451749863,2,4014,29,0
1451749863,2,4104,15,1
1451749863,2,5031,5,49
1451749863,2,6005,41,6
1451749863,2,6026,57,6
1451749863,2,6104,5,32
1451749863,2,6107,22,1
1451749863,2,7005,50,1
1451749863,2,7007,64,0
1451749863,2,7022,37,32
1451749863,2,7023,38,19
1451749863,2,7024,24,7
1451749863,2,8005,37,0
1451749863,2,8016,38,0
1451749863,2,8029,27,9
1451749863,2,8046,28,2
1451749863,2,8101,4,19
1451749863,2,8103,9,14
1451749863,2,9002,4,11
1451749863,2,9015,2,29
1451749863,2,9016,5,11
1451749863,2,9029,11,28
1451749863,2,9113,2,25
1451749863,2,10002,4,13
1451749863,2,10015,3,42
1451749863,2,10018,2,28
1451749863,2,10019,8,22
1451749863,2,10028,0,29
1451749863,2,10110,1,30
1451749863,2,10161,4,29
1451749863,2,11001,53,1
1451749863,2,11007,25,37
1451749863,2,11026,0,46
1451749863,2,11037,15,19
1451749863,2,11043,7,4
1451749863,2,11111,1,17
1451749863,2,12006,37,23
1451749863,2,12011,7,28
1451749863,2,12020,3,42
1451749863,2,12024,5,30
1451749863,2,12043,13,26
1451749863,2,12122,27,21
1451749863,2,12123,26,25
1451749863,2,13004,53,9
1451749863,2,13008,1,50
1451749863,2,13036,1,33
1451749863,2,13110,0,22
1451749863,2,14001,5,22
1451749863,2,14005,6,30
1451749863,2,14011,3,20
1451749863,2,14016,0,53
1451749863,2,15034,45,10
1451749863,2,15060,12,9
1451749863,2,15065,62,1
1451749863,2,15070,30,6
1451749863,2,17007,11,23
1451749863,2,17010,14,20
1451749863,2,17015,1,46
1451749863,2,17017,4,28
1451749863,2,17023,23,13
1451749863,2,17041,35,4
1451749863,2,17119,1,30
1451749863,2,18006,4,29
1451749863,2,18043,1,18
1451749863,2,18045,0,16
1451749863,2,18122,3,26
1451749863,2,19021,15,10
1451749863,2,19025,0,17
1451749863,2,19116,2,28
1451749863,2,19119,14,12
1451749863,2,20001,8,26
1451749863,2,20007,5,45
1451749863,2,20008,2,29
1451749863,2,20028,6,43
1451749863,2,20503,3,18
1451749863,2,21109,14,4
1451749863,2,23007,25,0
1451749863,2,31003,0,30
1451749863,2,31012,4,21
1451749863,2,33103,2,18
1451749863,2,43005,1,48
1451749863,3,10,21,13
1451749863,3,83,5,12
1451749863,3,84,11,13
1451749863,3,85,7,15
1451749863,3,103,15,5
1451749863,3,141,9,9
1451749863,5,1,12,17
1451749863,5,3,5,15
1451749863,5,5,14,26
1451749863,5,9,24,0
1451749863,5,27,16,4
1451749863,5,43,4,26
1451749863,5,64,22,18
1451749863,5,91,9,21
1451749863,6,16,2,18
1451749863,6,18,6,19
